Question,Answer
Why does this popup appear when I click “Change” on the Home page?,Clicking “Change” tells Salesforce that you want to switch the dashboard’s execution context and see it as a different user.
"If I switch from one user view to another while viewing the dashboard, does my actual Salesforce login change?","→ No. Switching from one user view to another does not change your actual Salesforce login. You remain logged in as your own user account the entire time.
→ Only the dashboard’s data view changes to show information as seen by the selected running user, based on that user’s record access and sharing permissions.                                                                                                                                                                       
→ This feature is used only to analyze data from different perspectives, not to log in as another user."
Why would an admin or manager need to view the dashboard as another user?,"An admin or manager may view the dashboard as another user to troubleshoot missing data, verify record-level access, validate sharing rules, and ensure that users are seeing the correct data based on their role hierarchy and profile permissions. This helps identify security misconfigurations and data visibility issues without logging in as that user."
Does switching users modify any records?,"No. Switching the dashboard’s running user does not modify any records. It only changes the execution context of the dashboard, allowing you to view data based on another user’s access permissions. This action is read-only and does not create, update, or delete any records in Salesforce."
What should I do to see the whole Business Insights Dashboard with all statistics on a single page instead of the Home page tiles?,"→ Go to the Home page in Salesforce
→ Locate the Business Insights Dashboard section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ View all charts, reports, timestamps, and controls in one place"
How do I share the Home page Lightning Dashboard and its statistics with other users in Salesforce?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ Look at the top-right corner of the dashboard
→ Click the Share (arrow/share) icon
→ You will have a statement above the URL (Only those with access to this Lightning Dashboard can view this link.)
→ Click Copy LINK to copy the dashboard link to your clipboard"
How do I rename the Business Insights Dashboard displayed on the Salesforce Home page?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ On the top-right corner of the dashboard, click Edit
→ At the top-left of the dashboard, find the dashboard title “Business Insights Dashboard”
→ You will see a pencil (edit) icon next to the dashboard name
→ Edit the dashboard name
→ Click Save in the top-right corner
→ Click Done to exit edit mode."
"How do I add new components (charts, tables, or metrics) to the Business Insights Lightning Dashboard displayed on the Home page in Salesforce?","→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ Click the “Open” button at the top-right of the dashboard section
→ Salesforce navigates you to the Analytics (Lightning Dashboard) page
→ Click the Edit button at the top-right of the dashboard
→ In the top toolbar, Click the Add Widget button
→ Choose the component type (chart, table, metric, etc.) -- Select the data source / report -- Configure fields, filters, and visualization options
→ Click Save to store the changes
→ Click Done to exit edit mode"
How do I download statistics from the Lightning Dashboard displayed on the Salesforce Home page?,"→ Go to home page in Salesforce
→ Find Business Insights Dashboard Section
→ At the top-right of the dashboard, find the ""Refresh"" button
→ Next to the ""Refresh"" button, click down arrow (▼) icon 
→ Click the Download option"
Why is region selection mandatory?,"Region selection is mandatory because the dashboard uses a Region filter to segment data geographically. The dashboard components are configured to display data based on the selected region. Without selecting a region, the system may not return meaningful or relevant data, or the components may show incomplete results. This ensures accurate, localized insights and prevents mixing data from multiple regions."
